200, 4, 1275
400, 7, 1653
600, 10, 1830
800, 13, 1891
1000, 16, 1953
1200, 20, 1830
1400, 23, 1830
1600, 26, 1891
1800, 29, 1953
2000, 32, 1953
2200, 35, 1953
2400, 39, 1891
2600, 42, 1891
2800, 45, 1953
3000, 48, 1953
3200, 51, 1953
3400, 54, 1953
3600, 58, 1953
3800, 61, 1953
4000, 64, 1953
4200, 67, 1953
4400, 70, 1953
4600, 74, 1953
4800, 77, 1953
5000, 80, 1953
